Tick,BehaviourType,FuelToBuy,Price,TotalRequests,TicksToFuel,TravelDiff,PriceIntolerance
1000.0,3.0,,3.784798397526366,0.0,33.0,,
1000.0,2.0,,1.8609202223792176,14.0,53.0,,
1000.0,1.0,57.0,,3.0,,1.0,1.1694553977701885
1000.0,3.0,,2.336222244164259,11.0,33.0,,
1000.0,0.0,73.0,,0.0,,41.0,0.8641664760832563
1000.0,2.0,,0.5628076070966914,27.0,48.0,,
1500.0,1.0,119.0,,2.0,,19.0,1.1227195798095708
1500.0,0.0,56.0,,37.0,,24.0,0.902254342636887
1500.0,3.0,,0.4326547682301618,27.0,22.0,,
1500.0,2.0,,0.9884261242601394,21.0,16.0,,
1500.0,0.0,125.0,,6.0,,100.0,1.1114203298756475
1500.0,2.0,,0.4672246534433608,3.0,21.0,,
1500.0,1.0,89.0,,11.0,,14.0,1.0352348644071825
1500.0,3.0,,1.9405121826317544,1.0,38.0,,
1500.0,0.0,146.0,,2.0,,23.0,1.0064720430432734
1500.0,1.0,103.0,,14.0,,49.0,1.093494643193179
1500.0,2.0,,3.557664292745327,13.0,16.0,,
1500.0,1.0,139.0,,10.0,,18.0,0.739310669761738
1500.0,3.0,,0.92773354140339,22.0,22.0,,
1500.0,0.0,129.0,,23.0,,51.0,1.2319134003222896
1500.0,3.0,,3.784798397526366,23.0,33.0,,
1500.0,2.0,,1.8609202223792176,6.0,53.0,,
1500.0,1.0,57.0,,22.0,,1.0,1.1694553977701885
1500.0,3.0,,2.336222244164259,14.0,33.0,,
1500.0,0.0,73.0,,6.0,,41.0,0.8641664760832563
1500.0,2.0,,0.5628076070966914,0.0,48.0,,
2000.0,1.0,119.0,,15.0,,19.0,1.1227195798095708
2000.0,0.0,56.0,,3.0,,24.0,0.902254342636887
2000.0,3.0,,0.4326547682301618,17.0,22.0,,
2000.0,2.0,,0.9884261242601394,18.0,16.0,,
2000.0,0.0,125.0,,11.0,,100.0,1.1114203298756475
2000.0,2.0,,0.4672246534433608,9.0,21.0,,
2000.0,1.0,89.0,,13.0,,14.0,1.0352348644071825
2000.0,3.0,,1.9405121826317544,7.0,38.0,,
2000.0,0.0,146.0,,8.0,,23.0,1.0064720430432734
2000.0,1.0,103.0,,7.0,,49.0,1.093494643193179
2000.0,2.0,,3.557664292745327,16.0,16.0,,
2000.0,1.0,139.0,,8.0,,18.0,0.739310669761738
2000.0,3.0,,0.92773354140339,5.0,22.0,,
2000.0,0.0,129.0,,34.0,,51.0,1.2319134003222896
2000.0,3.0,,3.784798397526366,16.0,33.0,,
2000.0,2.0,,1.8609202223792176,8.0,53.0,,
2000.0,1.0,57.0,,27.0,,1.0,1.1694553977701885
2000.0,3.0,,2.336222244164259,8.0,33.0,,
2000.0,0.0,73.0,,10.0,,41.0,0.8641664760832563
2000.0,2.0,,0.5628076070966914,23.0,48.0,,
2500.0,1.0,119.0,,7.0,,19.0,1.1227195798095708
2500.0,0.0,56.0,,1.0,,24.0,0.902254342636887
2500.0,3.0,,0.4326547682301618,8.0,22.0,,
2500.0,2.0,,0.9884261242601394,18.0,16.0,,
2500.0,0.0,125.0,,21.0,,100.0,1.1114203298756475
2500.0,2.0,,0.4672246534433608,34.0,21.0,,
2500.0,1.0,89.0,,0.0,,14.0,1.0352348644071825
2500.0,3.0,,1.9405121826317544,12.0,38.0,,
2500.0,0.0,146.0,,26.0,,23.0,1.0064720430432734
2500.0,1.0,103.0,,2.0,,49.0,1.093494643193179
2500.0,2.0,,3.557664292745327,32.0,16.0,,
2500.0,1.0,139.0,,14.0,,18.0,0.739310669761738
2500.0,3.0,,0.92773354140339,2.0,22.0,,
2500.0,0.0,129.0,,10.0,,51.0,1.2319134003222896
2500.0,3.0,,3.784798397526366,19.0,33.0,,
2500.0,2.0,,1.8609202223792176,15.0,53.0,,
2500.0,1.0,57.0,,2.0,,1.0,1.1694553977701885
2500.0,3.0,,2.336222244164259,8.0,33.0,,
2500.0,0.0,73.0,,4.0,,41.0,0.8641664760832563
2500.0,2.0,,0.5628076070966914,5.0,48.0,,
3000.0,1.0,119.0,,11.0,,19.0,1.1227195798095708
3000.0,0.0,56.0,,9.0,,24.0,0.902254342636887
3000.0,3.0,,0.4326547682301618,12.0,22.0,,
3000.0,2.0,,0.9884261242601394,13.0,16.0,,
3000.0,0.0,125.0,,6.0,,100.0,1.1114203298756475
3000.0,2.0,,0.4672246534433608,6.0,21.0,,
3000.0,1.0,89.0,,24.0,,14.0,1.0352348644071825
3000.0,3.0,,1.9405121826317544,0.0,38.0,,
3000.0,0.0,146.0,,21.0,,23.0,1.0064720430432734
3000.0,1.0,103.0,,19.0,,49.0,1.093494643193179
3000.0,2.0,,3.557664292745327,9.0,16.0,,
3000.0,1.0,139.0,,15.0,,18.0,0.739310669761738
3000.0,3.0,,0.92773354140339,2.0,22.0,,
3000.0,0.0,129.0,,3.0,,51.0,1.2319134003222896
3000.0,3.0,,3.784798397526366,0.0,33.0,,
3000.0,2.0,,1.8609202223792176,23.0,53.0,,
3000.0,1.0,57.0,,11.0,,1.0,1.1694553977701885
3000.0,3.0,,2.336222244164259,7.0,33.0,,
3000.0,0.0,73.0,,7.0,,41.0,0.8641664760832563
3000.0,2.0,,0.5628076070966914,42.0,48.0,,
3500.0,1.0,119.0,,11.0,,19.0,1.1227195798095708
3500.0,0.0,56.0,,20.0,,24.0,0.902254342636887
3500.0,3.0,,0.4326547682301618,15.0,22.0,,
3500.0,2.0,,0.9884261242601394,11.0,16.0,,
3500.0,0.0,125.0,,13.0,,100.0,1.1114203298756475
3500.0,2.0,,0.4672246534433608,18.0,21.0,,
3500.0,1.0,89.0,,6.0,,14.0,1.0352348644071825
3500.0,3.0,,1.9405121826317544,6.0,38.0,,
3500.0,0.0,146.0,,8.0,,23.0,1.0064720430432734
3500.0,1.0,103.0,,32.0,,49.0,1.093494643193179
3500.0,2.0,,3.557664292745327,21.0,16.0,,
3500.0,1.0,139.0,,14.0,,18.0,0.739310669761738
3500.0,3.0,,0.92773354140339,0.0,22.0,,
3500.0,0.0,129.0,,0.0,,51.0,1.2319134003222896
3500.0,3.0,,3.784798397526366,16.0,33.0,,
3500.0,2.0,,1.8609202223792176,5.0,53.0,,
3500.0,1.0,57.0,,6.0,,1.0,1.1694553977701885
3500.0,3.0,,2.336222244164259,14.0,33.0,,
3500.0,0.0,73.0,,0.0,,41.0,0.8641664760832563
3500.0,2.0,,0.5628076070966914,28.0,48.0,,
4000.0,1.0,119.0,,19.0,,19.0,1.1227195798095708
4000.0,0.0,56.0,,9.0,,24.0,0.902254342636887
4000.0,3.0,,0.4326547682301618,1.0,22.0,,
4000.0,2.0,,0.9884261242601394,28.0,16.0,,
4000.0,0.0,125.0,,21.0,,100.0,1.1114203298756475
4000.0,2.0,,0.4672246534433608,18.0,21.0,,
4000.0,1.0,89.0,,15.0,,14.0,1.0352348644071825
4000.0,3.0,,1.9405121826317544,1.0,38.0,,
4000.0,0.0,146.0,,4.0,,23.0,1.0064720430432734
4000.0,1.0,103.0,,25.0,,49.0,1.093494643193179
4000.0,2.0,,3.557664292745327,30.0,16.0,,
4000.0,1.0,139.0,,4.0,,18.0,0.739310669761738
4000.0,3.0,,0.92773354140339,15.0,22.0,,
4000.0,0.0,129.0,,3.0,,51.0,1.2319134003222896
4000.0,3.0,,3.784798397526366,8.0,33.0,,
4000.0,2.0,,1.8609202223792176,5.0,53.0,,
4000.0,1.0,57.0,,0.0,,1.0,1.1694553977701885
4000.0,3.0,,2.336222244164259,26.0,33.0,,
4000.0,0.0,73.0,,14.0,,41.0,0.8641664760832563
4000.0,2.0,,0.5628076070966914,10.0,48.0,,
4500.0,1.0,119.0,,15.0,,19.0,1.1227195798095708
4500.0,0.0,56.0,,3.0,,24.0,0.902254342636887
4500.0,3.0,,0.4326547682301618,36.0,22.0,,
4500.0,2.0,,0.9884261242601394,4.0,16.0,,
4500.0,0.0,125.0,,1.0,,100.0,1.1114203298756475
4500.0,2.0,,0.4672246534433608,18.0,21.0,,
4500.0,1.0,89.0,,3.0,,14.0,1.0352348644071825
4500.0,3.0,,1.9405121826317544,7.0,38.0,,
4500.0,0.0,146.0,,21.0,,23.0,1.0064720430432734
4500.0,1.0,103.0,,27.0,,49.0,1.093494643193179
4500.0,2.0,,3.557664292745327,6.0,16.0,,
4500.0,1.0,139.0,,9.0,,18.0,0.739310669761738
4500.0,3.0,,0.92773354140339,24.0,22.0,,
4500.0,0.0,129.0,,6.0,,51.0,1.2319134003222896
4500.0,3.0,,3.784798397526366,12.0,33.0,,
4500.0,2.0,,1.8609202223792176,32.0,53.0,,
4500.0,1.0,57.0,,38.0,,1.0,1.1694553977701885
4500.0,3.0,,2.336222244164259,9.0,33.0,,
4500.0,0.0,73.0,,28.0,,41.0,0.8641664760832563
4500.0,2.0,,0.5628076070966914,1.0,48.0,,
5000.0,1.0,119.0,,10.0,,19.0,1.1227195798095708
5000.0,0.0,56.0,,29.0,,24.0,0.902254342636887
5000.0,3.0,,0.4326547682301618,31.0,22.0,,
5000.0,2.0,,0.9884261242601394,23.0,16.0,,
5000.0,0.0,125.0,,4.0,,100.0,1.1114203298756475
5000.0,2.0,,0.4672246534433608,14.0,21.0,,
5000.0,1.0,89.0,,19.0,,14.0,1.0352348644071825
5000.0,3.0,,1.9405121826317544,8.0,38.0,,
5000.0,0.0,146.0,,16.0,,23.0,1.0064720430432734
5000.0,1.0,103.0,,5.0,,49.0,1.093494643193179
5000.0,2.0,,3.557664292745327,22.0,16.0,,
5000.0,1.0,139.0,,2.0,,18.0,0.739310669761738
5000.0,3.0,,0.92773354140339,10.0,22.0,,
5000.0,0.0,129.0,,6.0,,51.0,1.2319134003222896
5000.0,3.0,,3.784798397526366,9.0,33.0,,
5000.0,2.0,,1.8609202223792176,3.0,53.0,,
5000.0,1.0,57.0,,33.0,,1.0,1.1694553977701885
5000.0,3.0,,2.336222244164259,7.0,33.0,,
5000.0,0.0,73.0,,19.0,,41.0,0.8641664760832563
5000.0,2.0,,0.5628076070966914,5.0,48.0,,
5500.0,1.0,119.0,,19.0,,19.0,1.1227195798095708
5500.0,0.0,56.0,,4.0,,24.0,0.902254342636887
5500.0,3.0,,0.4326547682301618,34.0,22.0,,
5500.0,2.0,,0.9884261242601394,1.0,16.0,,
5500.0,0.0,125.0,,13.0,,100.0,1.1114203298756475
5500.0,2.0,,0.4672246534433608,7.0,21.0,,
5500.0,1.0,89.0,,12.0,,14.0,1.0352348644071825
5500.0,3.0,,1.9405121826317544,2.0,38.0,,
5500.0,0.0,146.0,,15.0,,23.0,1.0064720430432734
5500.0,1.0,103.0,,8.0,,49.0,1.093494643193179
5500.0,2.0,,3.557664292745327,17.0,16.0,,
5500.0,1.0,139.0,,12.0,,18.0,0.739310669761738
5500.0,3.0,,0.92773354140339,13.0,22.0,,
5500.0,0.0,129.0,,14.0,,51.0,1.2319134003222896
5500.0,3.0,,3.784798397526366,23.0,33.0,,
5500.0,2.0,,1.8609202223792176,7.0,53.0,,
5500.0,1.0,57.0,,8.0,,1.0,1.1694553977701885
5500.0,3.0,,2.336222244164259,2.0,33.0,,
5500.0,0.0,73.0,,19.0,,41.0,0.8641664760832563
5500.0,2.0,,0.5628076070966914,1.0,48.0,,
6000.0,1.0,119.0,,7.0,,19.0,1.1227195798095708
6000.0,0.0,56.0,,10.0,,24.0,0.902254342636887
6000.0,3.0,,0.4326547682301618,5.0,22.0,,
6000.0,2.0,,0.9884261242601394,1.0,16.0,,
6000.0,0.0,125.0,,3.0,,100.0,1.1114203298756475
6000.0,2.0,,0.4672246534433608,12.0,21.0,,
6000.0,1.0,89.0,,25.0,,14.0,1.0352348644071825
6000.0,3.0,,1.9405121826317544,0.0,38.0,,
6000.0,0.0,146.0,,2.0,,23.0,1.0064720430432734
6000.0,1.0,103.0,,20.0,,49.0,1.093494643193179
6000.0,2.0,,3.557664292745327,9.0,16.0,,
6000.0,1.0,139.0,,6.0,,18.0,0.739310669761738
6000.0,3.0,,0.92773354140339,6.0,22.0,,
6000.0,0.0,129.0,,6.0,,51.0,1.2319134003222896
6000.0,3.0,,3.784798397526366,12.0,33.0,,
6000.0,2.0,,1.8609202223792176,11.0,53.0,,
6000.0,1.0,57.0,,15.0,,1.0,1.1694553977701885
6000.0,3.0,,2.336222244164259,1.0,33.0,,
6000.0,0.0,73.0,,2.0,,41.0,0.8641664760832563
6000.0,2.0,,0.5628076070966914,10.0,48.0,,
6500.0,1.0,119.0,,21.0,,19.0,1.1227195798095708
6500.0,0.0,56.0,,36.0,,24.0,0.902254342636887
6500.0,3.0,,0.4326547682301618,13.0,22.0,,
6500.0,2.0,,0.9884261242601394,1.0,16.0,,
6500.0,0.0,125.0,,5.0,,100.0,1.1114203298756475
6500.0,2.0,,0.4672246534433608,4.0,21.0,,
6500.0,1.0,89.0,,4.0,,14.0,1.0352348644071825
6500.0,3.0,,1.9405121826317544,5.0,38.0,,
6500.0,0.0,146.0,,15.0,,23.0,1.0064720430432734
6500.0,1.0,103.0,,0.0,,49.0,1.093494643193179
6500.0,2.0,,3.557664292745327,2.0,16.0,,
6500.0,1.0,139.0,,4.0,,18.0,0.739310669761738
6500.0,3.0,,0.92773354140339,16.0,22.0,,
6500.0,0.0,129.0,,2.0,,51.0,1.2319134003222896
6500.0,3.0,,3.784798397526366,8.0,33.0,,
6500.0,2.0,,1.8609202223792176,8.0,53.0,,
6500.0,1.0,57.0,,18.0,,1.0,1.1694553977701885
6500.0,3.0,,2.336222244164259,26.0,33.0,,
6500.0,0.0,73.0,,16.0,,41.0,0.8641664760832563
6500.0,2.0,,0.5628076070966914,10.0,48.0,,
7000.0,1.0,119.0,,10.0,,19.0,1.1227195798095708
7000.0,0.0,56.0,,29.0,,24.0,0.902254342636887
7000.0,3.0,,0.4326547682301618,18.0,22.0,,
7000.0,2.0,,0.9884261242601394,1.0,16.0,,
7000.0,0.0,125.0,,32.0,,100.0,1.1114203298756475
7000.0,2.0,,0.4672246534433608,6.0,21.0,,
7000.0,1.0,89.0,,9.0,,14.0,1.0352348644071825
7000.0,3.0,,1.9405121826317544,21.0,38.0,,
7000.0,0.0,146.0,,6.0,,23.0,1.0064720430432734
7000.0,1.0,103.0,,1.0,,49.0,1.093494643193179
7000.0,2.0,,3.557664292745327,26.0,16.0,,
7000.0,1.0,139.0,,9.0,,18.0,0.739310669761738
7000.0,3.0,,0.92773354140339,6.0,22.0,,
7000.0,0.0,129.0,,13.0,,51.0,1.2319134003222896
7000.0,3.0,,3.784798397526366,3.0,33.0,,
7000.0,2.0,,1.8609202223792176,9.0,53.0,,
7000.0,1.0,57.0,,24.0,,1.0,1.1694553977701885
7000.0,3.0,,2.336222244164259,29.0,33.0,,
7000.0,0.0,73.0,,16.0,,41.0,0.8641664760832563
7000.0,2.0,,0.5628076070966914,11.0,48.0,,
7500.0,1.0,119.0,,17.0,,19.0,1.1227195798095708
7500.0,0.0,56.0,,20.0,,24.0,0.902254342636887
7500.0,3.0,,0.4326547682301618,6.0,22.0,,
7500.0,2.0,,0.9884261242601394,11.0,16.0,,
7500.0,0.0,125.0,,5.0,,100.0,1.1114203298756475
7500.0,2.0,,0.4672246534433608,21.0,21.0,,
7500.0,1.0,89.0,,16.0,,14.0,1.0352348644071825
7500.0,3.0,,1.9405121826317544,3.0,38.0,,
7500.0,0.0,146.0,,9.0,,23.0,1.0064720430432734
7500.0,1.0,103.0,,7.0,,49.0,1.093494643193179
7500.0,2.0,,3.557664292745327,3.0,16.0,,
7500.0,1.0,139.0,,3.0,,18.0,0.739310669761738
7500.0,3.0,,0.92773354140339,12.0,22.0,,
7500.0,0.0,129.0,,2.0,,51.0,1.2319134003222896
7500.0,3.0,,3.784798397526366,13.0,33.0,,
7500.0,2.0,,1.8609202223792176,32.0,53.0,,
7500.0,1.0,57.0,,5.0,,1.0,1.1694553977701885
7500.0,3.0,,2.336222244164259,7.0,33.0,,
7500.0,0.0,73.0,,11.0,,41.0,0.8641664760832563
7500.0,2.0,,0.5628076070966914,7.0,48.0,,
8000.0,1.0,119.0,,19.0,,19.0,1.1227195798095708
8000.0,0.0,56.0,,20.0,,24.0,0.902254342636887
8000.0,3.0,,0.4326547682301618,16.0,22.0,,
8000.0,2.0,,0.9884261242601394,21.0,16.0,,
8000.0,0.0,125.0,,5.0,,100.0,1.1114203298756475
8000.0,2.0,,0.4672246534433608,3.0,21.0,,
8000.0,1.0,89.0,,17.0,,14.0,1.0352348644071825
8000.0,3.0,,1.9405121826317544,10.0,38.0,,
8000.0,0.0,146.0,,16.0,,23.0,1.0064720430432734
8000.0,1.0,103.0,,19.0,,49.0,1.093494643193179
8000.0,2.0,,3.557664292745327,2.0,16.0,,
8000.0,1.0,139.0,,16.0,,18.0,0.739310669761738
8000.0,3.0,,0.92773354140339,3.0,22.0,,
8000.0,0.0,129.0,,3.0,,51.0,1.2319134003222896
8000.0,3.0,,3.784798397526366,19.0,33.0,,
8000.0,2.0,,1.8609202223792176,2.0,53.0,,
8000.0,1.0,57.0,,3.0,,1.0,1.1694553977701885
8000.0,3.0,,2.336222244164259,1.0,33.0,,
8000.0,0.0,73.0,,15.0,,41.0,0.8641664760832563
8000.0,2.0,,0.5628076070966914,20.0,48.0,,
8500.0,1.0,119.0,,8.0,,19.0,1.1227195798095708
8500.0,0.0,56.0,,10.0,,24.0,0.902254342636887
8500.0,3.0,,0.4326547682301618,8.0,22.0,,
8500.0,2.0,,0.9884261242601394,19.0,16.0,,
8500.0,0.0,125.0,,12.0,,100.0,1.1114203298756475
8500.0,2.0,,0.4672246534433608,13.0,21.0,,
8500.0,1.0,89.0,,3.0,,14.0,1.0352348644071825
8500.0,3.0,,1.9405121826317544,31.0,38.0,,
8500.0,0.0,146.0,,2.0,,23.0,1.0064720430432734
8500.0,1.0,103.0,,1.0,,49.0,1.093494643193179
8500.0,2.0,,3.557664292745327,30.0,16.0,,
8500.0,1.0,139.0,,26.0,,18.0,0.739310669761738
8500.0,3.0,,0.92773354140339,0.0,22.0,,
8500.0,0.0,129.0,,1.0,,51.0,1.2319134003222896
8500.0,3.0,,3.784798397526366,12.0,33.0,,
8500.0,2.0,,1.8609202223792176,11.0,53.0,,
8500.0,1.0,57.0,,10.0,,1.0,1.1694553977701885
8500.0,3.0,,2.336222244164259,5.0,33.0,,
8500.0,0.0,73.0,,6.0,,41.0,0.8641664760832563
8500.0,2.0,,0.5628076070966914,22.0,48.0,,
9000.0,1.0,119.0,,10.0,,19.0,1.1227195798095708
9000.0,0.0,56.0,,5.0,,24.0,0.902254342636887
9000.0,3.0,,0.4326547682301618,5.0,22.0,,
9000.0,2.0,,0.9884261242601394,23.0,16.0,,
9000.0,0.0,125.0,,2.0,,100.0,1.1114203298756475
9000.0,2.0,,0.4672246534433608,1.0,21.0,,
9000.0,1.0,89.0,,2.0,,14.0,1.0352348644071825
9000.0,3.0,,1.9405121826317544,10.0,38.0,,
9000.0,0.0,146.0,,11.0,,23.0,1.0064720430432734
9000.0,1.0,103.0,,12.0,,49.0,1.093494643193179
9000.0,2.0,,3.557664292745327,3.0,16.0,,
9000.0,1.0,139.0,,12.0,,18.0,0.739310669761738
9000.0,3.0,,0.92773354140339,14.0,22.0,,
9000.0,0.0,129.0,,6.0,,51.0,1.2319134003222896
9000.0,3.0,,3.784798397526366,8.0,33.0,,
9000.0,2.0,,1.8609202223792176,26.0,53.0,,
9000.0,1.0,57.0,,24.0,,1.0,1.1694553977701885
9000.0,3.0,,2.336222244164259,3.0,33.0,,
9000.0,0.0,73.0,,7.0,,41.0,0.8641664760832563
9000.0,2.0,,0.5628076070966914,17.0,48.0,,
9500.0,1.0,119.0,,8.0,,19.0,1.1227195798095708
9500.0,0.0,56.0,,11.0,,24.0,0.902254342636887
9500.0,3.0,,0.4326547682301618,22.0,22.0,,
9500.0,2.0,,0.9884261242601394,5.0,16.0,,
9500.0,0.0,125.0,,1.0,,100.0,1.1114203298756475
9500.0,2.0,,0.4672246534433608,5.0,21.0,,
9500.0,1.0,89.0,,28.0,,14.0,1.0352348644071825
9500.0,3.0,,1.9405121826317544,7.0,38.0,,
9500.0,0.0,146.0,,1.0,,23.0,1.0064720430432734
9500.0,1.0,103.0,,32.0,,49.0,1.093494643193179
9500.0,2.0,,3.557664292745327,33.0,16.0,,
9500.0,1.0,139.0,,17.0,,18.0,0.739310669761738
9500.0,3.0,,0.92773354140339,0.0,22.0,,
9500.0,0.0,129.0,,21.0,,51.0,1.2319134003222896
9500.0,3.0,,3.784798397526366,15.0,33.0,,
9500.0,2.0,,1.8609202223792176,28.0,53.0,,
9500.0,1.0,57.0,,8.0,,1.0,1.1694553977701885
9500.0,3.0,,2.336222244164259,31.0,33.0,,
9500.0,0.0,73.0,,0.0,,41.0,0.8641664760832563
9500.0,2.0,,0.5628076070966914,3.0,48.0,,
10000.0,1.0,119.0,,12.0,,19.0,1.1227195798095708
10000.0,0.0,56.0,,2.0,,24.0,0.902254342636887
10000.0,3.0,,0.4326547682301618,7.0,22.0,,
10000.0,2.0,,0.9884261242601394,22.0,16.0,,
10000.0,0.0,125.0,,22.0,,100.0,1.1114203298756475
10000.0,2.0,,0.4672246534433608,24.0,21.0,,
10000.0,1.0,89.0,,13.0,,14.0,1.0352348644071825
10000.0,3.0,,1.9405121826317544,10.0,38.0,,
10000.0,0.0,146.0,,8.0,,23.0,1.0064720430432734
10000.0,1.0,103.0,,16.0,,49.0,1.093494643193179
10000.0,2.0,,3.557664292745327,1.0,16.0,,
10000.0,1.0,139.0,,18.0,,18.0,0.739310669761738
10000.0,3.0,,0.92773354140339,4.0,22.0,,
10000.0,0.0,129.0,,18.0,,51.0,1.2319134003222896
10000.0,3.0,,3.784798397526366,0.0,33.0,,
10000.0,2.0,,1.8609202223792176,9.0,53.0,,
10000.0,1.0,57.0,,7.0,,1.0,1.1694553977701885
10000.0,3.0,,2.336222244164259,9.0,33.0,,
10000.0,0.0,73.0,,14.0,,41.0,0.8641664760832563
10000.0,2.0,,0.5628076070966914,4.0,48.0,,
,,,,1.0,,,
500.0,2.0,,1.9814529725018408,28.0,28.0,,
500.0,0.0,110.0,,5.0,,92.0,1.030505775290509
500.0,1.0,105.0,,18.0,,115.0,0.9608746466260382
500.0,0.0,59.0,,12.0,,45.0,0.9476309695553156
500.0,3.0,,0.3239888966776909,10.0,46.0,,
500.0,2.0,,2.101166253622002,6.0,19.0,,
500.0,1.0,81.0,,11.0,,137.0,1.288204800192255
500.0,3.0,,1.9087541484749464,21.0,47.0,,
1000.0,2.0,,1.9814529725018408,4.0,28.0,,
1000.0,0.0,110.0,,8.0,,92.0,1.030505775290509
1000.0,1.0,105.0,,4.0,,115.0,0.9608746466260382
1000.0,0.0,59.0,,20.0,,45.0,0.9476309695553156
1000.0,3.0,,0.3239888966776909,0.0,46.0,,
1000.0,2.0,,2.101166253622002,23.0,19.0,,
1000.0,1.0,81.0,,4.0,,137.0,1.288204800192255
1000.0,3.0,,1.9087541484749464,16.0,47.0,,
1500.0,2.0,,1.9814529725018408,14.0,28.0,,
1500.0,0.0,110.0,,23.0,,92.0,1.030505775290509
1500.0,1.0,105.0,,7.0,,115.0,0.9608746466260382
1500.0,0.0,59.0,,11.0,,45.0,0.9476309695553156
1500.0,3.0,,0.3239888966776909,2.0,46.0,,
1500.0,2.0,,2.101166253622002,15.0,19.0,,
1500.0,1.0,81.0,,9.0,,137.0,1.288204800192255
1500.0,3.0,,1.9087541484749464,11.0,47.0,,
2000.0,2.0,,1.9814529725018408,6.0,28.0,,
2000.0,0.0,110.0,,10.0,,92.0,1.030505775290509
2000.0,1.0,105.0,,5.0,,115.0,0.9608746466260382
2000.0,0.0,59.0,,4.0,,45.0,0.9476309695553156
2000.0,3.0,,0.3239888966776909,4.0,46.0,,
2000.0,2.0,,2.101166253622002,7.0,19.0,,
2000.0,1.0,81.0,,3.0,,137.0,1.288204800192255
2000.0,3.0,,1.9087541484749464,22.0,47.0,,
2500.0,2.0,,1.9814529725018408,4.0,28.0,,
2500.0,0.0,110.0,,22.0,,92.0,1.030505775290509
2500.0,1.0,105.0,,25.0,,115.0,0.9608746466260382
2500.0,0.0,59.0,,8.0,,45.0,0.9476309695553156
2500.0,3.0,,0.3239888966776909,19.0,46.0,,
2500.0,2.0,,2.101166253622002,11.0,19.0,,
2500.0,1.0,81.0,,10.0,,137.0,1.288204800192255
2500.0,3.0,,1.9087541484749464,25.0,47.0,,
3000.0,2.0,,1.9814529725018408,27.0,28.0,,
3000.0,0.0,110.0,,10.0,,92.0,1.030505775290509
3000.0,1.0,105.0,,13.0,,115.0,0.9608746466260382
3000.0,0.0,59.0,,3.0,,45.0,0.9476309695553156
3000.0,3.0,,0.3239888966776909,4.0,46.0,,
3000.0,2.0,,2.101166253622002,19.0,19.0,,
3000.0,1.0,81.0,,6.0,,137.0,1.288204800192255
3000.0,3.0,,1.9087541484749464,6.0,47.0,,
3500.0,2.0,,1.9814529725018408,3.0,28.0,,
3500.0,0.0,110.0,,12.0,,92.0,1.030505775290509
3500.0,1.0,105.0,,25.0,,115.0,0.9608746466260382
3500.0,0.0,59.0,,29.0,,45.0,0.9476309695553156
3500.0,3.0,,0.3239888966776909,22.0,46.0,,
3500.0,2.0,,2.101166253622002,20.0,19.0,,
3500.0,1.0,81.0,,2.0,,137.0,1.288204800192255
3500.0,3.0,,1.9087541484749464,1.0,47.0,,
4000.0,2.0,,1.9814529725018408,1.0,28.0,,
4000.0,0.0,110.0,,37.0,,92.0,1.030505775290509
4000.0,1.0,105.0,,4.0,,115.0,0.9608746466260382
4000.0,0.0,59.0,,2.0,,45.0,0.9476309695553156
4000.0,3.0,,0.3239888966776909,13.0,46.0,,
